NAME,TYPE,RESOURCE GROUP,LOCATION,SUBSCRIPTION,RESOURCE LINK
"INVM1","Virtual machine","ODL-AZ-2327373","West US 2","Simplilearn HOL 100457","https://portal.azure.com#resource/subscriptions/715a9ad9-e31f-4aee-bafa-306fdf8b5bcb/resourceGroups/ODL-AZ-2327373/providers/Microsoft.Compute/virtualMachines/INVM1"
"invm1","Key vault","ODL-az-2327373","West US 2","Simplilearn HOL 100457","https://portal.azure.com#resource/subscriptions/715a9ad9-e31f-4aee-bafa-306fdf8b5bcb/resourceGroups/ODL-az-2327373/providers/Microsoft.KeyVault/vaults/invm1"
"INVM1-ip","Public IP address","ODL-az-2327373","West US 2","Simplilearn HOL 100457","https://portal.azure.com#resource/subscriptions/715a9ad9-e31f-4aee-bafa-306fdf8b5bcb/resourceGroups/ODL-az-2327373/providers/Microsoft.Network/publicIPAddresses/INVM1-ip"
"INVM1-nsg","Network security group","ODL-az-2327373","West US 2","Simplilearn HOL 100457","https://portal.azure.com#resource/subscriptions/715a9ad9-e31f-4aee-bafa-306fdf8b5bcb/resourceGroups/ODL-az-2327373/providers/Microsoft.Network/networkSecurityGroups/INVM1-nsg"
"invm1562","Network Interface","ODL-az-2327373","West US 2","Simplilearn HOL 100457","https://portal.azure.com#resource/subscriptions/715a9ad9-e31f-4aee-bafa-306fdf8b5bcb/resourceGroups/ODL-az-2327373/providers/Microsoft.Network/networkInterfaces/invm1562"
"INVM1_OsDisk_1_9a0bed44a5ba4140aadc2e54b018009e","Disk","ODL-AZ-2327373","West US 2","Simplilearn HOL 100457","https://portal.azure.com#resource/subscriptions/715a9ad9-e31f-4aee-bafa-306fdf8b5bcb/resourceGroups/ODL-AZ-2327373/providers/Microsoft.Compute/disks/INVM1_OsDisk_1_9a0bed44a5ba4140aadc2e54b018009e"
"INVM2","Virtual machine","ODL-az-2327373","West US 2","Simplilearn HOL 100457","https://portal.azure.com#resource/subscriptions/715a9ad9-e31f-4aee-bafa-306fdf8b5bcb/resourceGroups/ODL-az-2327373/providers/Microsoft.Compute/virtualMachines/INVM2"
"INVM2-ip","Public IP address","ODL-az-2327373","West US 2","Simplilearn HOL 100457","https://portal.azure.com#resource/subscriptions/715a9ad9-e31f-4aee-bafa-306fdf8b5bcb/resourceGroups/ODL-az-2327373/providers/Microsoft.Network/publicIPAddresses/INVM2-ip"
"INVM2-nsg","Network security group","ODL-az-2327373","West US 2","Simplilearn HOL 100457","https://portal.azure.com#resource/subscriptions/715a9ad9-e31f-4aee-bafa-306fdf8b5bcb/resourceGroups/ODL-az-2327373/providers/Microsoft.Network/networkSecurityGroups/INVM2-nsg"
"invm2756","Network Interface","ODL-az-2327373","West US 2","Simplilearn HOL 100457","https://portal.azure.com#resource/subscriptions/715a9ad9-e31f-4aee-bafa-306fdf8b5bcb/resourceGroups/ODL-az-2327373/providers/Microsoft.Network/networkInterfaces/invm2756"
"INVM2_OsDisk_1_f25cf913527945e893b6198f65ec90f7","Disk","ODL-AZ-2327373","West US 2","Simplilearn HOL 100457","https://portal.azure.com#resource/subscriptions/715a9ad9-e31f-4aee-bafa-306fdf8b5bcb/resourceGroups/ODL-AZ-2327373/providers/Microsoft.Compute/disks/INVM2_OsDisk_1_f25cf913527945e893b6198f65ec90f7"
"INVNET","Virtual network","ODL-az-2327373","West US 2","Simplilearn HOL 100457","https://portal.azure.com#resource/subscriptions/715a9ad9-e31f-4aee-bafa-306fdf8b5bcb/resourceGroups/ODL-az-2327373/providers/Microsoft.Network/virtualNetworks/INVNET"
"NetworkWatcher_westus2","Network Watcher","NetworkWatcherRG","West US 2","Simplilearn HOL 100457","https://portal.azure.com#resource/subscriptions/715a9ad9-e31f-4aee-bafa-306fdf8b5bcb/resourceGroups/NetworkWatcherRG/providers/Microsoft.Network/networkWatchers/NetworkWatcher_westus2"
"SGVM","Virtual machine","ODL-az-2327373","West US 2","Simplilearn HOL 100457","https://portal.azure.com#resource/subscriptions/715a9ad9-e31f-4aee-bafa-306fdf8b5bcb/resourceGroups/ODL-az-2327373/providers/Microsoft.Compute/virtualMachines/SGVM"
"SGVM-ip","Public IP address","ODL-az-2327373","West US 2","Simplilearn HOL 100457","https://portal.azure.com#resource/subscriptions/715a9ad9-e31f-4aee-bafa-306fdf8b5bcb/resourceGroups/ODL-az-2327373/providers/Microsoft.Network/publicIPAddresses/SGVM-ip"
